country,number
Armenia,18
Bangladesh,12
Brazil,24
Bulgaria,39
Cameroon,11
"China, People's Republic",3361
Colombia,233
"Congo, Democratic Republic",25
Ecuador,11
El Salvador,10
Estonia,19
Ethiopia,2548
Ghana,99
Guatemala,49
Guyana,33
Haiti,179
Hong Kong,15
India,249
Iran,13
Jamaica,63
Japan,35
Kazakhstan,182
Kenya,16
"Korea, South",875
Latvia,40
Lesotho,12
Liberia,40
Lithuania,15
Marshall Islands,18
Mexico,59
Moldova,13
Morocco,33
Nepal,29
Nicaragua,12
Nigeria,197
Pakistan,40
Peru,34
Philippines,215
Poland,48
Russia,1079
Rwanda,42
Sierra Leone,12
Taiwan,277
Thailand,57
Uganda,64
Ukraine,445
All other countries,182
Unknown,18
